Type_Championnat,Année,Champion Masculin,Champion Féminin
Champions de France,1975,Montpellier UC,ASPTT Montpellier
Champions de France,1974,Stade Français,ASPTT Montpellier
Champions de France,1973,Montpellier UC,ASPTT Montpellier
Champions de France,1972,Montpellier UC,ASPTT Montpellier
Champions de France,1971,Racing Club de France,ASPTT Montpellier
Champions de France,1970,Racing Club de France,ASPTT Montpellier
Champions de France,1969,Racing Club de France,Paris UC
Champions de France,1968,Paris UC,Paris UC
Champions de France,1967,Paris UC,Paris UC
Champions de France,1966,Asnières Sports,Racing Club de France
Champions de France,1965,Asnières Sports,Racing Club de France
Champions de France,1964,Racing Club de France,Tourcoing Sports
Champions de France,1963,Paris UC,Tourcoing Sports
Champions de France,1962,Paris UC,Montpellier UC
Champions de France,1961,* Stade Français et Caid Oran,Tourcoing Sports
Champions de France,1960,Stade Français,Stade Français
Champions de France,1959,BNCI Alger,Montpellier UC
Champions de France,1958,Stade Français,Montpellier UC
Champions de France,1957,Stade Français,Montpellier UC
Champions de France,1956,CO Billancourt,Racing Club de France
Champions de France,1955,CO Billancourt,Racing Club de France
Champions de France,1954,CO Billancourt,Racing Club de France
Champions de France,1953,Stade Français,Racing Club de France
Champions de France,1952,Stade Français,Montpellier UC
Champions de France,1951,Montpellier UC,Racing Club de France
Champions de France,1950,Montpellier UC,Montpellier UC
Champions de France,1949,Montpellier UC,Montpellier UC
Champions de France,1948,Racing Club de France,AS Cannes
Champions de France,1947,Montpellier UC,Racing Club de France
Champions de France,1946,Racing Club de France,Racing Club de France
Champions de France,1945,Stade Français,Paris UC
Champions de France,1944,-,-
Champions de France,1943,Paris UC,AS Cannes
Champions de France,1942,* RCF et RC Cannes,Villa Primerose Bordeaux
Champions de France,1941,Paris UC,Villa Primerose Bordeaux
Champions de France,1940,-,-
Champions de France,1939, Volley-Club de France, -
Champions de France,1938,SS Amicale Paris , -
Coupe de France Federal, ,Aucun,Aucun
Coupe de France Volley-ball, ,Aucun,Aucun
Champions de France, ,Aucun,Aucun
